rooms,area_total,area_living,area_kitchen,floor,floors_total,floor_ratio,building_year,building_age,company_ad,is_first_floor,is_last_floor,is_single_floor,has_furniture,has_appliances,has_balcony_text,has_parking,has_concierge,has_elevator,no_animals,renovation_euro,renovation_cosmetic,renovation_none,owner_rents,metro_nearby,metro_distance,month,day_of_week,is_weekend,days_since_listed,has_area_living,has_area_kitchen,has_building_year,has_floor_info,has_contact,price_usd,source,address,ad_link,metro_station,building_decade,price_per_m2
4.0,78.0,35.0,10.0,9.0,10.0,0.9,2010.0,16.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2367.7774322306764,6.0,2.0,0,3.0,1,1,1,1,1,650.0,kufar,"Леонида Беды ул, 45, Минск",https://re.kufar.by/vi/1069416568,Парк Челюскинцев,2010-е,8.333333333333334
,41.0,38.0,10.0,11.0,20.0,0.55,2020.0,6.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,149.34065688110184,6.0,2.0,0,3.0,1,1,1,1,1,520.0,kufar,"Дзержинского пр, 94, Минск",https://re.kufar.by/vi/1074506104,Петровщина,2020-е,12.682926829268293
,60.0,,9.5,3.0,19.0,0.15789473684210525,2015.0,11.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.6787755492035,6.0,2.0,0,3.0,0,1,1,1,1,550.0,kufar,"Шугаева ул, 17, Минск",https://re.kufar.by/vi/1074504753,Борисовский тракт,2010-е,9.166666666666666
,46.0,41.4,,5.0,8.0,0.625,2023.0,3.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.6705452658701,6.0,2.0,0,3.0,1,0,1,1,1,800.0,kufar,"Макаёнка ул, 12К, Минск",https://re.kufar.by/vi/1074503122,Парк Челюскинцев,2020-е,17.391304347826086
,36.9,17.1,7.0,11.0,12.0,0.9166666666666666,1991.0,35.0,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.1414980449058,6.0,2.0,0,3.0,1,1,1,1,1,450.0,kufar,"Алибегова ул, 17, Минск",https://re.kufar.by/vi/1074503123,Петровщина,1990-е,12.195121951219512
,43.7,,,12.0,25.0,0.48,2022.0,4.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.6719172876409,6.0,2.0,0,3.0,0,0,1,1,1,730.0,kufar,"Братская ул, 1, Минск",https://re.kufar.by/vi/1074085989,Аэродромная,2020-е,16.704805491990847
,92.8,50.6,12.6,8.0,16.0,0.5,2008.0,18.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.1731002160138,6.0,2.0,0,3.0,1,1,1,1,1,750.0,kufar,"Болеслава Берута ул, 11А, Минск",https://re.kufar.by/vi/1074502521,Молодёжная,2000-е,8.081896551724139
,62.2,42.9,7.1,6.0,9.0,0.6666666666666666,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572.491022134892,6.0,2.0,0,3.0,1,1,0,1,1,600.0,kufar,"Восточная ул, 44, Минск",https://re.kufar.by/vi/1074502520,Академия наук,,9.646302250803858
3.0,54.0,38.0,,10.0,,,,,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,175.9536124325196,6.0,2.0,0,3.0,1,0,0,0,1,700.0,kufar,"Кальварийская ул, 4, Минск",https://re.kufar.by/vi/1060545215,Фрунзенская,,12.962962962962964
3.0,70.0,,20.0,7.0,9.0,0.7777777777777778,2019.0,7.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2829.579734920171,6.0,2.0,0,3.0,0,1,1,1,1,850.0,kufar,"Ильянская ул, 4, Минск",https://re.kufar.by/vi/1074499797,Спортивная,2010-е,12.142857142857142
2.0,32.0,26.0,6.0,4.0,23.0,0.17391304347826086,2021.0,5.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,454.59739117116095,6.0,2.0,0,3.0,1,1,1,1,1,470.0,kufar,"Игоря Лученка ул, 13, Минск",https://re.kufar.by/vi/1073335695,Аэродромная,2020-е,14.6875
1.0,38.0,35.6,,3.0,7.0,0.42857142857142855,2024.0,2.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.9202299658727,6.0,2.0,0,3.0,1,0,1,1,1,700.0,kufar,"Нововиленская ул, 57, Минск",https://re.kufar.by/vi/1072825201,Молодёжная,2020-е,18.42105263157895
,47.1,22.5,10.6,7.0,9.0,0.7777777777777778,2013.0,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.1100890024113,6.0,2.0,0,3.0,1,1,1,1,1,400.0,kufar,"Максима Горецкого ул, 22, Минск",https://re.kufar.by/vi/1070278795,Кунцевщина,2010-е,8.492569002123142
2.0,47.0,39.0,8.0,5.0,25.0,0.2,2021.0,5.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0366409013554,6.0,2.0,0,3.0,1,1,1,1,1,600.0,kufar,"Мира пр, 6, Минск",https://re.kufar.by/vi/1073494522,Аэродромная,2020-е,12.76595744680851
,49.5,49.0,10.0,5.0,10.0,0.5,2017.0,9.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3469.763640179916,6.0,2.0,0,3.0,1,1,1,1,1,550.0,kufar,Минск,https://re.kufar.by/vi/1070496954,Восток,2010-е,11.11111111111111
2.0,36.0,24.0,8.0,6.0,8.0,0.75,1983.0,43.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.8500217042202,6.0,2.0,0,3.0,1,1,1,1,1,501.0,kufar,"Пулихова ул, 23, Минск",https://re.kufar.by/vi/1072728468,Первомайская,1980-е,13.916666666666666
,49.0,,,2.0,,,2010.0,16.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,744.5421344308049,6.0,2.0,0,3.0,0,0,1,0,1,480.0,kufar,"Нёманская ул, 9, Минск",https://re.kufar.by/vi/1074496035,Каменная Горка,2010-е,9.795918367346939
2.0,50.0,32.0,7.0,9.0,9.0,1.0,1984.0,42.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1064.4121478498496,6.0,2.0,0,3.0,1,1,1,1,1,532.77,kufar,"Газеты Звязда пр, 10к2, Минск",https://re.kufar.by/vi/1074495746,Петровщина,1980-е,10.6554
,68.0,38.0,,9.0,9.0,1.0,1982.0,44.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1711.2167826119257,6.0,2.0,0,3.0,1,0,1,1,1,400.0,kufar,"Рокоссовского пр, 4к1, Минск",https://re.kufar.by/vi/1074495469,Пролетарская,1980-е,5.882352941176471
,39.3,17.9,10.0,2.0,25.0,0.08,2014.0,12.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,185.27178067159198,6.0,2.0,0,3.0,1,1,1,1,1,600.0,kufar,"Газеты Правда пр, 17, Минск",https://re.kufar.by/vi/1072574997,Петровщина,2010-е,15.267175572519085
2.0,38.0,14.0,12.0,6.0,16.0,0.375,2024.0,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1796.0469153717756,6.0,2.0,0,3.0,1,1,1,1,1,465.0,kufar,"Игуменский тракт, Минск",https://re.kufar.by/vi/1073679240,Слуцкий гостинец,2020-е,12.236842105263158
2.0,33.0,16.0,7.0,9.0,9.0,1.0,1980.0,46.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95.29292995388064,6.0,2.0,0,3.0,1,1,1,1,1,250.0,kufar,"Пушкина пр, Минск",https://re.kufar.by/vi/1074493699,Пушкинская,1980-е,7.575757575757576
2.0,86.0,78.0,12.0,7.0,16.0,0.4375,2023.0,3.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2198.277798995975,6.0,2.0,0,3.0,1,1,1,1,1,860.0,kufar,"Восточная ул, 137, Минск",https://re.kufar.by/vi/1068928111,Парк Челюскинцев,2020-е,10.0
,105.9,76.4,,7.0,10.0,0.7,,,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2758.245957928997,6.0,2.0,0,3.0,1,0,0,1,1,1065.53,kufar,"Нововиленская ул, 10, Минск",https://re.kufar.by/vi/1074491999,Фрунзенская,,10.06166194523135
