snapshot_date,source,price_usd,rooms,area_total,area_living,floor,floors_total,company_ad,condition,building_year,location_lat,location_lon,list_time,building_type,ad_id,subject,body_short,price_byn,ad_link,district,balcony,area_code,address,contact_name,area_kitchen,uuid,title,description,street,metro,metro_time,furniture,house_type,metro_station
2026-07-04,kufar,450.0,,33.0,,8.0,9.0,False,5.0,2000.0,53.875432,27.618066,2026-07-04T06:31:10Z,1.0,1075722387,Сдам 1-к квартиру,"Сдам 1-к квартиру в шаговой доступности от станции м. Партизанская только по договору аренды на длительный срок. Являюсь собственником данного жилья,",1307.79,https://re.kufar.by/vi/1075722387,,3.0,26.0,"Васнецова ул, 2, Минск",V.,,,,,,,,,,
2026-07-04,kufar,1000.0,2.0,54.0,,,23.0,False,10.0,2022.0,53.866359,27.486561,2026-07-04T06:31:03Z,2.0,198760252,"Новая 2шка, пр-т Дзержинского 92 (м. Петровщина)","Аренда от собственника, без комиссии агентам и дополнительных платежей.

ВАЖНО: Коммунальные платежи и интернет уже включены в стоимость.

Просторная",2906.2,https://re.kufar.by/vi/198760252,320.0,3.0,29.0,"Дзержинского пр, 92, Минск",Сергей,,,,,,,,,,
2026-07-04,kufar,1400.0,,70.0,,6.0,24.0,True,,2012.0,53.9117,27.5398,2026-07-04T06:30:58Z,,1071446696,"2-к квартира  Победителей просп., 27","Просторная 2-комнатная квартира в Минске с машиноместом в паркинге!!! 

 Ищете идеальную квартиру для аренды в Минске? Представляем вашему вниманию 2-",4068.68,https://re.kufar.by/vi/1071446696,90.0,3.0,22.0,"Победителей пр, 27, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,1200.0,,106.2,63.4,15.0,17.0,True,,2004.0,53.891,27.5632,2026-07-04T06:30:37Z,,1054061445,"4-к квартира  Белорусская ул., 15",Четырехкомнатная квартира в тихом центре Минска. Общая площадь 106.2 кв.м. Дом 2004 года постройки. В квартире выполнен качественный ремонт с использо,3487.44,https://re.kufar.by/vi/1054061445,,2.0,27.0,"Белорусская ул, 15, Минск",ООО ТВОЯ СТОЛИЦА,17.6,,,,,,,,,
2026-07-04,kufar,1700.0,,239.0,147.0,3.0,7.0,True,,2004.0,53.9249,27.5952,2026-07-04T06:30:25Z,,1057607923,"4-к квартира  Сурганова ул., 27","Сдается просторная 4-комнатная квартира в Минске! Идеальный вариант для комфортного проживания в Советском районе.  

  Расположенная по адресу ул. Су",4940.54,https://re.kufar.by/vi/1057607923,,3.0,23.0,"Сурганова ул, 27, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,1990.0,,231.6,136.7,4.0,8.0,True,,2002.0,53.9144,27.5295,2026-07-04T06:29:48Z,,1027966967,"4-к квартира  Чехова ул., 3","Элитная 4-х комнатная квартира 188 кв.м с машиноместом в подземном гараже, кухней 30 кв.м, гостиной 40 кв.м двумя санузлами, роялем Steinway и большой",5783.34,https://re.kufar.by/vi/1027966967,,3.0,22.0,"Чехова ул, 3, Минск",ООО ТВОЯ СТОЛИЦА,28.9,,,,,,,,,
2026-07-04,kufar,650.0,,56.0,27.2,5.0,9.0,True,,2008.0,53.8696,27.4901,2026-07-04T06:29:35Z,,1072364754,"2-к квартира  Дзержинского просп., 80","Сдается уютная 2-комнатная квартира в аренду в Минске, расположенная по адресу: Дзержинского просп., в престижном Московском районе. Это идеальное пре",1889.03,https://re.kufar.by/vi/1072364754,320.0,1.0,29.0,"Дзержинского пр, 80, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,980.0,,75.0,27.8,7.0,7.0,True,,1972.0,53.9274,27.5934,2026-07-04T06:28:18Z,,1027398262,"3-к квартира  Сурганова ул., 38","Ищете комфортное и современное жилье? Предлагаем вам уютную трехкомнатную квартиру-студию в Советском районе — идеальное решение для тех, кто ценит уд",2848.08,https://re.kufar.by/vi/1027398262,,2.0,23.0,"Сурганова ул, 38, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,1100.0,,92.1,52.2,6.0,13.0,True,,2002.0,53.8951,27.5727,2026-07-04T06:27:39Z,,1066095438,"3-к квартира  Казарменный пер., 4","Сдаётся стильная 3-комнатная квартира по адресу переулок Казарменный 4. 

 Идеальный вариант для комфортной жизни! Просторная, светлая квартира с каче",3196.82,https://re.kufar.by/vi/1066095438,,3.0,27.0,"Казарменный переулок, 4, Минск",ООО ТВОЯ СТОЛИЦА,12.7,,,,,,,,,
2026-07-04,kufar,2600.0,,176.0,,2.0,4.0,True,,2005.0,53.9003,27.4699,2026-07-04T06:27:28Z,,1043363278,"4-к квартира  Привабная ул., 5","Четырехкомнатная квартира общей площадью 176 м2 на улице Привабная, 5 в малоквартирном доме. 

 Месторасположение отличается удачным сочетанием зелено",7556.12,https://re.kufar.by/vi/1043363278,165.0,2.0,30.0,"Привабная ул, 5, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,850.0,,85.0,50.0,6.0,17.0,True,,2009.0,53.874,27.5683,2026-07-04T06:27:06Z,,1062934167,"3-к квартира  Маяковского ул., 100",Трехкомнатная квартира в Ленинском районе. Общая площадь 85 кв.м. Дом 2009 года постройки. В квартире сделан современный ремонт по дизайнерскому-проек,2470.27,https://re.kufar.by/vi/1062934167,,3.0,27.0,"Маяковского ул, 100, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,1800.0,,71.0,62.5,5.0,6.0,True,,2011.0,53.9102,27.557,2026-07-04T06:25:53Z,,1065272668,"2-к квартира  Сторожовская ул., 6","Двухкомнатная квартира в самом сердце исторического центра Минска. Знаменитый дом «У Троицкого»- повышенный уровень безопасности, огороженная территор",5231.16,https://re.kufar.by/vi/1065272668,260.0,3.0,22.0,"Сторожовская ул, 6, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,1280.0,,80.5,64.1,9.0,9.0,True,,1967.0,53.9023,27.5673,2026-07-04T06:25:33Z,,1035902910,"3-к квартира  Маркса ул., 42","3-комнатная квартира-студия в престижном месте, центр Минска — ул. Карла Маркса, 42 

 Сдается стильная и полностью оборудованная трехкомнатная кварти",3719.94,https://re.kufar.by/vi/1035902910,,2.0,27.0,"Карла Маркса ул, 42, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,700.0,,45.4,39.6,5.0,10.0,True,,2018.0,53.931,27.6533,2026-07-04T06:25:20Z,,1042683945,"2-к квартира  Туровского ул., 24","Ищете уютное жильё в престижном районе? Предлагаем современную 2-комнатную квартиру по адресу: ул. Туровского, всего в нескольких минутах ходьбы от ме",2034.34,https://re.kufar.by/vi/1042683945,325.0,3.0,24.0,"Кирилла Туровского ул, 24, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,1000.0,,70.0,,3.0,5.0,True,,2008.0,53.9389,27.4878,2026-07-04T06:24:45Z,,1052892510,"2-к квартира  Пионерская ул., 7","Сдается уютная 2-комнатная квартира в Минске, расположенная по адресу: ул. Пионерская, в престижном Центральном районе. Идеальный вариант для комфортн",2906.2,https://re.kufar.by/vi/1052892510,195.0,3.0,22.0,"Пионерская ул, 7, Минск",ООО ТВОЯ СТОЛИЦА,,,,,,,,,,
2026-07-04,kufar,750.0,3.0,85.0,52.1,4.0,10.0,False,5.0,2011.0,53.938538,27.593389,2026-07-04T06:24:42Z,10.0,1072161338,Сдача 3 комнатной квартиры,"Сдается на длительный срок трехкомнатная квартира. В квартире есть все необходимое для комфортной жизни мебель и техника. Находится на 4 этаже.
Развит",2179.65,https://re.kufar.by/vi/1072161338,220.0,1.0,23.0,"Белинского ул, 54, Минск",Елена,11.0,,,,,,,,,
2026-07-04,kufar,1200.0,,113.0,51.0,9.0,10.0,True,,2005.0,53.9051,27.4458,2026-07-04T06:24:31Z,,1053429903,"3-к квартира  Бурдейного ул., 18","Сдается просторная 3-комнатная квартира в Минске, Фрунзенский район, по ул. Бурдейного – идеальный выбор для комфортного проживания! Эта великолепная",3487.44,https://re.kufar.by/vi/1053429903,80.0,1.0,30.0,"Бурдейного ул, 18, Минск",ООО ТВОЯ СТОЛИЦА,33.0,,,,,,,,,
