ad_id,list_time,subject,body_short,price_usd,price_byn,company_ad,ad_link,area_total,balcony,condition,floor,floors_total,building_year,area_code,location_lon,location_lat,address,contact_name,rooms,district,area_living,building_type,area_kitchen
1071662235,2026-06-04T16:10:30Z,Сдам 2-х комнатную квартиру,"Сдается 2-х комнатная квартира, по ул.Берута 24, к1., 3 этаж. г. Минск. Под ключ. Евроремонт, вся мебель, техника: TV, микроволновка, холодильник, сти",600.0,1720.08,False,https://re.kufar.by/vi/1071662235,45.0,1,5,3.0,5.0,,30,27.50601,53.899048,"Болеслава Берута ул, 24/1, Минск",Александр,3.0,290,30.0,3,5.0
1071661369,2026-06-04T15:58:36Z,"3комн. для длительного проживания у метро Академия наук, у парка, по пр. Независимости 80","Работаем по факту! 

Полностью укомплектована всем необходимым для длительного проживания: мебель, техника, посуда, бытовые мелочи 

Комнат: 3 (спален",700.0,2006.76,True,https://re.kufar.by/vi/1071661369,55.4,3,5,2.0,9.0,1963.0,24,27.607843,53.922342,"Независимости пр, 80, Минск",ООО КАРТА ГОРОДА,2.0,,36.3,3,6.2
1071649808,2026-06-04T13:38:18Z,"Снять 2-комнатную квартиру, г. Минск, ул. Лучины, 24","Уютная 2-комнатная квартира в Лошице на длительный срок

Сдается просторная и уютная двухкомнатная квартира в одном из самых комфортных для жизни райо",523.23,1500.0,True,https://re.kufar.by/vi/1071649808,67.4,3,5,9.0,9.0,,27,27.57686,53.837673,"Янки Лучины ул, 24, Минск",ООО Артель Недвижимость,,145,41.9,,8.8
1071644666,2026-06-04T13:16:22Z,"Аренда 2-комнатной квартиры, Аэродромная 26А","Сдается светлая евро-двушка в ЖК «Минск Мир» 

 О квартире:
Уютная и современная планировка
Полностью укомплектована мебелью и техникой для комфортног",570.0,1634.08,True,https://re.kufar.by/vi/1071644666,38.4,3,,23.0,25.0,2022.0,28,27.546299,53.871403,"Аэродромная ул, 26А, Минск",ООО Центр недвижимости ГАЛАКТИКА,,170,29.9,4,
1071633090,2026-06-04T12:52:44Z,Просторная 2-комнатная квартира (50 м²),"Сдам просторную 2-комнатную квартиру (50 м²) на длительный срок по договору аренды. Адрес: ул. Щорса, 4Б - 5 минут до метро Грушевка. Этаж 16 (из 18).",650.0,1863.42,False,https://re.kufar.by/vi/1071633090,50.0,1,10,16.0,18.0,2019.0,29,27.520023,53.882927,"Щорса ул, 4Б, Минск",Дмитрий,4.0,55,,,
1062155452,2026-06-04T12:31:48Z,Сдам 2-комнатную квартиру по ул.Некрасова,"Сдается 2-х комнатная квартира с 01.05 на длительный срок. Еще переклеиваем обои и линолеум. Если согласны, вселится в мае, ремонт доделаем на выходны",400.0,1146.72,False,https://re.kufar.by/vi/1062155452,50.0,1,1,3.0,9.0,1984.0,23,27.586337,53.932553,"Некрасова ул, 19, Минск",наташа,2.0,,33.0,1,7.2
1071573394,2026-06-04T08:01:35Z,Долгосрочная аренда,"Квартира 1+1 (евро двушка)  хорошим ремонтов в аренду по договору.
Коммунальные включены в стоимость.",685.43,1965.0,False,https://re.kufar.by/vi/1071573394,59.0,3,1,8.0,10.0,2013.0,22,27.472979,53.93302,"Ильянская ул, 4, Минск",Татьяна,,,,,
1071550633,2026-06-04T07:01:01Z,Сдается 2 комнатная кв. район пл. Бангалор,Сдается уютная и просторная 2комн.квартира. Оснащена всей необходимой техникой и мебелью. Прекрасный вид. Удобная инфраструктура и транспортное сообще,650.0,1863.42,False,https://re.kufar.by/vi/1071550633,65.0,3,5,15.0,16.0,2004.0,23,27.583247,53.936396,"Максима Богдановича ул, 120, Минск",Елена,2.0,,42.0,10,9.0
1071550474,2026-06-04T06:58:46Z,Квартира в супер зеленой зоне,"Просторная дизайнерская квартира. Большие панорамные окна. Солнечная, светлая. Основа хорошего настроения и жизненной энергии. Высокий этаж, вид город",600.0,1720.08,False,https://re.kufar.by/vi/1071550474,56.0,1,10,17.0,22.0,2016.0,23,27.611292,53.946848,"Логойский тракт, 19к2, Минск",Джон,1.0,,25.0,2,19.0
1071486329,2026-06-03T19:23:21Z,Двухкомнатная квартира.,"В историческом центре Минска, 300м. от ж.д. вокзала,по адресу пер. Михайловский д.4, сдается на длительный срок 2 х комнатная квартира с мебелью и быт",700.0,2006.76,False,https://re.kufar.by/vi/1071486329,55.1,2,5,3.0,5.0,1951.0,28,27.55146680271068,53.89375260261745,"Михайловский переулок, 4, Минск",Василий,2.0,,32.2,3,7.2
1071471196,2026-06-03T16:49:40Z,"Жореса Алферова 7, Аренда 2-комнатной квартиры","Работаем по факту!

Сдаётся уютная двухкомнатная квартира в ЖК Минск Мир 
Квартира полностью укомплектована мебелью и техникой, выполнен качественный",750.0,2150.1,True,https://re.kufar.by/vi/1071471196,44.6,3,,6.0,25.0,2024.0,28,27.55247,53.862084,"Жореса Алфёрова ул, 7, Минск",ООО Центр недвижимости ГАЛАКТИКА,,170,38.0,4,
1071452673,2026-06-03T13:28:50Z,Сдать 2-комнатную квартиру,"Дом кирпичный, расположен во дворе, рядом парк им. Горького, набережная Свислочи.
     Две квартиры на площадке, видеодомофон, на полу ламинат, металл",650.0,1863.42,False,https://re.kufar.by/vi/1071452673,54.0,3,1,5.0,8.0,1978.0,25,27.576303,53.90031,"Первомайская ул, 20к2, Минск",Диана,3.0,200,34.0,3,8.6
1071445224,2026-06-03T12:37:28Z,"Аренда 3-комнатной квартиры, Туровского 10",Сдается трехкомнатная квартира в ЖК Маяк Минск. Ул. Кирилла Туровского 10. Две отдельные спальни и кухня-гостиная.квартира укомплектована всем необход,1200.0,3440.16,True,https://re.kufar.by/vi/1071445224,91.0,3,,4.0,10.0,,24,27.655067,53.932037,"Кирилла Туровского ул, 10, Минск",ООО Центр недвижимости ГАЛАКТИКА,,325,89.2,,
